date,visits,revenue,stock_level,is_holiday,month,day_name
2025-08-29,7,8680,203,0,8,Friday
2025-08-30,11,12727,199,0,8,Saturday
2025-08-31,14,11536,193,0,8,Sunday
2025-09-01,9,13266,189,0,9,Monday
2025-09-02,6,4884,186,0,9,Tuesday
2025-09-03,10,11920,182,0,9,Wednesday
2025-09-04,10,11690,177,0,9,Thursday
2025-09-05,9,5994,174,0,9,Friday
2025-09-06,11,7315,169,0,9,Saturday
2025-09-07,10,13120,164,0,9,Sunday
2025-09-08,9,11988,161,0,9,Monday
2025-09-09,8,7352,158,0,9,Tuesday
2025-09-10,7,4550,155,0,9,Wednesday
2025-09-11,8,9504,151,0,9,Thursday
2025-09-12,10,8540,146,0,9,Friday
2025-09-13,11,9559,141,0,9,Saturday
2025-09-14,9,10791,138,0,9,Sunday
2025-09-15,9,7047,134,0,9,Monday
2025-09-16,8,7488,130,0,9,Tuesday
2025-09-17,9,11997,127,0,9,Wednesday
2025-09-18,8,9816,124,0,9,Thursday
2025-09-19,8,7552,120,0,9,Friday
2025-09-20,13,16835,115,0,9,Saturday
2025-09-21,10,11520,111,0,9,Sunday
2025-09-22,10,5790,107,0,9,Monday
2025-09-23,7,6783,105,0,9,Tuesday
2025-09-24,8,10912,102,0,9,Wednesday
2025-09-25,10,14360,597,0,9,Thursday
2025-09-26,7,8176,595,0,9,Friday
2025-09-27,10,14360,590,0,9,Saturday
2025-09-28,10,14880,585,0,9,Sunday
2025-09-29,6,3090,582,0,9,Monday
2025-09-30,8,7880,578,0,9,Tuesday
2025-10-01,8,5360,575,0,10,Wednesday
2025-10-02,9,6408,572,0,10,Thursday
2025-10-03,10,5870,568,0,10,Friday
2025-10-04,12,13716,563,0,10,Saturday
2025-10-05,13,18070,557,0,10,Sunday
2025-10-06,10,10300,552,0,10,Monday
2025-10-07,9,9126,548,0,10,Tuesday
2025-10-08,9,12105,544,0,10,Wednesday
2025-10-09,10,5740,540,0,10,Thursday
2025-10-10,8,10176,536,0,10,Friday
2025-10-11,12,16044,531,0,10,Saturday
2025-10-12,10,9650,527,0,10,Sunday
2025-10-13,9,11601,523,0,10,Monday
2025-10-14,10,9390,519,0,10,Tuesday
2025-10-15,9,11934,515,0,10,Wednesday
2025-10-16,10,12780,511,0,10,Thursday
2025-10-17,8,5952,508,0,10,Friday
2025-10-18,11,13090,503,0,10,Saturday
2025-10-19,9,11475,499,0,10,Sunday
2025-10-20,7,5257,496,0,10,Monday
2025-10-21,6,5622,493,0,10,Tuesday
2025-10-22,7,4900,490,0,10,Wednesday
2025-10-23,10,8890,485,0,10,Thursday
2025-10-24,10,10420,481,0,10,Friday
2025-10-25,10,13520,477,0,10,Saturday
2025-10-26,12,17424,472,0,10,Sunday
2025-10-27,8,7792,468,0,10,Monday
2025-10-28,8,9680,464,0,10,Tuesday
2025-10-29,6,3300,461,0,10,Wednesday
2025-10-30,6,8754,459,0,10,Thursday
2025-10-31,10,13680,454,0,10,Friday
2025-11-01,4,4308,452,1,11,Saturday
2025-11-02,3,1818,450,1,11,Sunday
2025-11-03,10,14910,445,0,11,Monday
2025-11-04,6,5832,442,0,11,Tuesday
2025-11-05,7,6090,439,0,11,Wednesday
2025-11-06,10,13500,435,0,11,Thursday
2025-11-07,10,11670,431,0,11,Friday
2025-11-08,9,12312,427,0,11,Saturday
2025-11-09,10,11250,422,0,11,Sunday
2025-11-10,9,8928,418,0,11,Monday
2025-11-11,6,8064,415,0,11,Tuesday
2025-11-12,7,8505,412,0,11,Wednesday
2025-11-13,9,10701,408,0,11,Thursday
2025-11-14,6,3168,405,0,11,Friday
2025-11-15,12,13488,401,0,11,Saturday
2025-11-16,10,7440,396,0,11,Sunday
2025-11-17,9,7164,393,0,11,Monday
2025-11-18,10,12760,389,0,11,Tuesday
2025-11-19,6,4002,387,0,11,Wednesday
2025-11-20,7,4382,385,0,11,Thursday
2025-11-21,9,7137,381,0,11,Friday
2025-11-22,9,11718,378,0,11,Saturday
2025-11-23,9,10827,375,0,11,Sunday
2025-11-24,10,14560,370,0,11,Monday
2025-11-25,6,4326,367,0,11,Tuesday
2025-11-26,9,10836,363,0,11,Wednesday
2025-11-27,10,8880,359,0,11,Thursday
2025-11-28,6,5760,357,0,11,Friday
2025-11-29,9,11700,353,0,11,Saturday
2025-11-30,12,9348,348,0,11,Sunday
2025-12-01,10,10870,344,0,12,Monday
2025-12-02,9,5409,340,0,12,Tuesday
2025-12-03,8,7864,336,0,12,Wednesday
2025-12-04,10,5380,331,0,12,Thursday
2025-12-05,8,4576,327,0,12,Friday
2025-12-06,11,14872,322,0,12,Saturday
2025-12-07,12,13020,317,0,12,Sunday
2025-12-08,11,7821,312,0,12,Monday
2025-12-09,8,11752,309,0,12,Tuesday
2025-12-10,9,8019,305,0,12,Wednesday
2025-12-11,11,15554,301,0,12,Thursday
2025-12-12,8,4352,298,0,12,Friday
2025-12-13,14,9072,293,0,12,Saturday
2025-12-14,15,13650,287,0,12,Sunday
2025-12-15,11,14058,282,0,12,Monday
2025-12-16,10,13470,277,0,12,Tuesday
2025-12-17,7,8512,275,0,12,Wednesday
2025-12-18,8,11880,272,0,12,Thursday
2025-12-19,8,5736,269,0,12,Friday
2025-12-20,13,8034,263,0,12,Saturday
2025-12-21,12,11520,258,0,12,Sunday
2025-12-22,12,12576,254,0,12,Monday
2025-12-23,11,7887,250,0,12,Tuesday
2025-12-24,3,3507,249,1,12,Wednesday
2025-12-25,1,645,248,1,12,Thursday
2025-12-26,10,11030,244,0,12,Friday
2025-12-27,14,19516,239,0,12,Saturday
2025-12-28,12,8400,235,0,12,Sunday
2025-12-29,11,15884,230,0,12,Monday
2025-12-30,2,1920,229,1,12,Tuesday
2025-12-31,2,1186,229,1,12,Wednesday
